Counter,Date/time,Latitude (deg),Longitude (deg),Altitude (km),B_x,B_y,B_z
172,2022-04-30 16:33:24.385352,14.003427843107827,-86.45217100456301,418.70860308012584,16.513431549072266,6.608060359954834,15.926392555236816
173,2022-04-30 16:33:36.826218,13.381303127070955,-85.9764132476589,418.7550213002245,16.35931968688965,6.611576557159424,15.58647346496582
174,2022-04-30 16:33:49.256635,12.758596579930842,-85.5037652549197,418.8050653417212,16.326459884643555,6.447356224060059,15.072861671447754
175,2022-04-30 16:34:01.756252,12.13136901529238,-85.03107728819614,418.8591236749636,16.31049156188965,6.514132976531982,14.717638969421387
176,2022-04-30 16:34:14.156218,11.50815726028762,-84.56459003449281,418.9164905841036,16.167293548583984,6.467350959777832,14.193436622619629
177,2022-04-30 16:34:26.653060,10.879140559728505,-84.09677178160105,418.97810983507037,15.965174674987793,6.5006890296936035,13.88115406036377
178,2022-04-30 16:34:39.131010,10.25019527882702,-83.63184377602182,419.0434787746762,15.686820983886719,6.504580974578857,13.441645622253418
179,2022-04-30 16:34:51.598741,9.620944158561104,-83.16934214346374,419.1126588447187,15.529173851013184,6.666595935821533,12.936579704284668
180,2022-04-30 16:35:04.069597,8.990769523575747,-82.70863779184405,419.18574716135487,15.328533172607422,6.604143142700195,12.420262336730957
181,2022-04-30 16:35:16.538363,8.359990268806007,-82.24979337104034,419.262736696174,15.314135551452637,6.6717705726623535,12.069116592407227
182,2022-04-30 16:35:29.003585,7.7287350409887186,-81.79273204411747,419.3436356465416,15.206987380981445,6.707526683807373,11.820341110229492
183,2022-04-30 16:35:41.484142,7.096100127141981,-81.33663501378399,419.4285888302439,15.042460441589355,6.699481964111328,11.352880477905273
184,2022-04-30 16:35:53.888680,6.466774128658047,-80.88470402344423,419.516958738191,14.916111946105957,6.883833408355713,10.945184707641602
185,2022-04-30 16:36:06.374483,5.832829577578488,-80.43108335215153,419.60987838872563,14.936479568481445,7.084543228149414,10.468633651733398
186,2022-04-30 16:36:18.786070,5.202212298799828,-79.98129857034642,419.7062006497037,14.81629753112793,7.168179988861084,9.899259567260742
187,2022-04-30 16:36:31.200843,4.57104478067382,-79.53241166709492,419.80649557336034,14.718538284301758,7.100721836090088,9.554425239562988
188,2022-04-30 16:36:43.690812,3.935714030106818,-79.08170494495698,419.9113822879651,14.753124237060547,7.032196521759033,9.02664566040039
189,2022-04-30 16:36:56.158295,3.3012377154424093,-78.63258544661309,420.0200623284953,14.683815002441406,7.007529258728027,8.599756240844727
190,2022-04-30 16:37:08.637324,2.665935361464505,-78.18370305354017,420.13282026826454,14.44005298614502,7.04041862487793,8.159502983093262
191,2022-04-30 16:37:21.096578,2.031453134825521,-77.73606189712753,420.24935879142066,14.216950416564941,7.116330146789551,7.784063816070557
192,2022-04-30 16:37:33.576180,1.3957981629540583,-77.28809806566817,420.37003980310493,14.16717529296875,7.163754940032959,7.307531356811523
193,2022-04-30 16:37:46.062103,0.7597349107533683,-76.84019412700434,420.4947231936568,13.942540168762207,7.316284656524658,6.907325744628906
194,2022-04-30 16:37:58.470505,0.12758533317781204,-76.3952347061177,420.62251765904824,13.910135269165039,7.33270788192749,6.471158981323242
195,2022-04-30 16:38:10.950826,-0.5082136431392753,-75.9477396180322,420.7549357279043,13.704822540283203,7.459103584289551,6.05183219909668
196,2022-04-30 16:38:23.353055,-1.1399697423210253,-75.50296778991441,420.89035570045326,13.67372989654541,7.582247734069824,5.413853168487549
197,2022-04-30 16:38:35.832756,-1.7755575158690198,-75.05521891733257,421.0304452620291,13.667067527770996,7.60368537902832,4.9098944664001465
198,2022-04-30 16:38:48.239066,-2.407243296010516,-74.609785541881,421.1734788554189,13.593387603759766,7.767443656921387,4.601912498474121
199,2022-04-30 16:39:00.714359,-3.0422262002109126,-74.16143457531388,421.3210584676272,13.475113868713379,7.743857383728027,3.9844555854797363
200,2022-04-30 16:39:13.185145,-3.676713630373058,-73.71268170955823,421.4723029540565,13.4286527633667,7.722759246826172,3.45524263381958
